City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Fresno,Owned,FALSE,ROOSEVELT,130,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1220 N FINE AVE,1820,2000,i5aik4ltprzh,alchemy,2020-10-20T17:23:33.000Z,,,,,22.01,26.42,78913499518367,,,
Fresno,Owned,FALSE,FRESNO HIGH-ROEDING,91,"[{""name"":""The Fresno"",""yield_boost"":1.2},{""name"":""The Van Nesses"",""yield_boost"":1.65}]",2237 N VAN NESS BLVD,1911,9666,i5aik4ltprzh,alchemy,2020-10-28T01:48:07.500Z,,,,,23.12,38.14,78921837792466,,,
Fresno,Owned,FALSE,FIG GARDEN LOOP,132,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",6701 N ALVA AVE,1980,1980,i5aik4ltprzh,alchemy,2021-02-09T12:10:04.500Z,,,,,23.95,28.74,78961834672093,,,
Fresno,Owned,FALSE,NORTH GROWTH AREA,70,"[{""name"":""The Fresno"",""yield_boost"":1.2},{""name"":""North Growth Area"",""yield_boost"":1.6}]",1419 E VIA CORSICA PL,1995,6999,i5aik4ltprzh,alchemy,2021-08-01T19:49:44.500Z,,,,,24.13,38.61,79001143690522,,,
Fresno,Owned,FALSE,FRESNO HIGH-ROEDING,97,"[{""name"":""The Fresno"",""yield_boost"":1.2},{""name"":""The Van Nesses"",""yield_boost"":1.65}]",2338 N VAN NESS BLVD,2037,9666,i5aik4ltprzh,alchemy,2020-10-28T01:48:10.500Z,,,completed,aptbuilding,24.64,40.66,78922290777322,,,
Cleveland,Owned,FALSE,GLENVILLE,35,"[{""name"":""Clevelander"",""yield_boost"":1.25},{""name"":""Glenville"",""yield_boost"":1.3}]",11221 SAINT CLAIR AVE,2100,20000,i5aik4ltprzh,alchemy,2021-09-24T00:24:20.000Z,,,,,25.4,33.02,81891439522923,,,
Staten Island,Owned,FALSE,GREAT KILLS,38,"[{""name"":""Great Kills"",""yield_boost"":1.15},{""name"":""Staten Islander"",""yield_boost"":1.2}]",93 KATAN AVE,2280,12999,i5aik4ltprzh,alchemy,2021-09-25T10:20:58.000Z,,,,,27.58,33.09,81276890352080,,,
Fresno,Owned,FALSE,ROOSEVELT,163,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",344 M ST,2282,2282,i5aik4ltprzh,alchemy,2020-10-20T19:43:30.500Z,,,,,27.6,33.12,78896218986039,,,
Nashville,Owned,FALSE,DONELSON,16,"[{""name"":""Nashville"",""yield_boost"":1.25}]",3019 WILTSHIRE PARK PL,2304,2304,i5aik4ltprzh,alchemy,2021-11-03T17:00:37.500Z,,,,,27.87,34.84,78534989756727,,,
Brooklyn,Owned,FALSE,SHEEPSHEAD BAY,40,"[{""name"":""Brooklyner"",""yield_boost"":1.25}]",2717 HARING ST,2400,2400,i5aik4ltprzh,alchemy,2021-03-10T07:02:08.500Z,,,,,29.03,36.29,81297425667471,,,
San Francisco,Owned,FALSE,OUTER MISSION,24,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",26 FOOTE AVE,2400,5000,i5aik4ltprzh,alchemy,2021-01-05T02:09:15.000Z,,,,,29.03,34.84,79508251724054,,,
Detroit,Owned,TRUE,NORTH CAMPAU,38,"[{""name"":""Detroit"",""yield_boost"":1.25}]",13978 SAINT AUBIN ST,2584,2584,i5aik4ltprzh,alchemy,2022-05-27T01:40:34.500Z,,,,,31.26,39.07,82435390341476,,,
Fresno,Owned,FALSE,WEST FRESNO,185,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",333 N CHANNING AVE,2590,2590,i5aik4ltprzh,alchemy,2020-11-29T01:37:57.500Z,,,,,31.33,37.59,78907006732905,,,
